,Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Date_Str,Confirmed,Recovered,Deceased,Daily_Confirmed,Daily_Recovered,Daily_Deceased
2021-09-24,24,9,2021,0,5,31.2,45.57,28.98,8.13,0.41,11.16,55,2021-9-24,1438658,1413182,25085,24.0,66.0,0.0
2021-09-25,25,9,2021,0,6,29.94,52.34,25.04,8.12,0.36,11.41,50,2021-9-25,1438685,1413221,25085,27.0,39.0,0.0
2021-09-26,26,9,2021,1,7,39.82,60.03,28.45,8.19,0.53,13.06,55,2021-9-26,1438714,1413258,25085,29.0,37.0,0.0
2021-09-27,27,9,2021,0,1,57.51,110.73,32.18,8.25,0.7,12.82,102,2021-9-27,1438746,1413295,25085,32.0,37.0,0.0
2021-09-28,28,9,2021,0,2,48.43,99.35,32.47,8.2,0.57,12.13,103,2021-9-28,1438780,1413320,25087,34.0,25.0,2.0
2021-09-29,29,9,2021,0,3,44.98,95.02,29.83,8.09,0.72,12.02,86,2021-9-29,1438821,1413342,25087,41.0,22.0,0.0
2021-09-30,30,9,2021,0,4,34.88,80.39,32.85,7.29,0.88,12.77,82,2021-9-30,1438868,1413381,25087,47.0,39.0,0.0
2021-10-01,1,10,2021,0,5,56.87,137.83,38.56,9.12,1.24,14.74,108,2021-10-1,1438900,1413404,25087,32.0,23.0,0.0
2021-10-02,2,10,2021,1,6,66.65,107.55,28.64,8.2,0.74,14.66,130,2021-10-2,1438933,1413462,25088,33.0,58.0,1.0
2021-10-03,3,10,2021,1,7,46.59,106.1,23.52,8.64,0.64,14.95,91,2021-10-3,1438966,1413492,25088,33.0,30.0,0.0
2021-10-04,4,10,2021,0,1,37.73,105.88,20.43,8.79,0.61,15.15,94,2021-10-4,1439000,1413514,25088,34.0,22.0,0.0
2021-10-05,5,10,2021,0,2,41.88,96.77,33.02,9.17,0.79,22.7,105,2021-10-5,1439027,1413590,25088,27.0,76.0,0.0
2021-10-06,6,10,2021,0,3,45.09,92.96,28.48,9.52,0.69,20.95,85,2021-10-6,1439053,1413611,25088,26.0,21.0,0.0
2021-10-07,7,10,2021,0,4,64.65,117.52,44.95,9.55,0.87,33.12,105,2021-10-7,1439097,1413626,25088,44.0,15.0,0.0
2021-10-08,8,10,2021,0,5,68.31,179.04,40.87,7.71,1.13,38.89,138,2021-10-8,1439136,1413649,25088,39.0,23.0,0.0
2021-10-09,9,10,2021,0,6,79.29,214.39,52.39,7.74,1.22,37.67,181,2021-10-9,1439166,1413701,25088,30.0,52.0,0.0
2021-10-10,10,10,2021,1,7,77.59,186.18,44.57,7.74,1.39,37.77,181,2021-10-10,1439195,1413759,25089,29.0,58.0,1.0
2021-10-11,11,10,2021,0,1,79.17,207.03,46.88,8.22,1.78,36.23,168,2021-10-11,1439218,1413760,25089,23.0,1.0,0.0
2021-10-12,12,10,2021,0,2,79.44,199.22,44.2,7.93,1.48,38.5,181,2021-10-12,1439252,1413798,25089,34.0,38.0,0.0
2021-10-13,13,10,2021,0,3,75.56,181.8,31.41,7.78,0.96,57.19,146,2021-10-13,1439283,1413856,25089,31.0,58.0,0.0
2021-10-14,14,10,2021,0,4,76.6,182.05,42.55,7.8,0.99,61.36,171,2021-10-14,1439311,1413885,25089,28.0,29.0,0.0
2021-10-15,15,10,2021,1,5,99.7,194.26,49.88,8.0,1.37,55.28,199,2021-10-15,1439337,1413921,25089,26.0,36.0,0.0
2021-10-16,16,10,2021,0,6,145.48,248.36,50.86,8.14,1.85,50.33,273,2021-10-16,1439358,1413943,25089,21.0,22.0,0.0
2021-10-17,17,10,2021,1,7,224.0,260.6,48.41,8.07,1.9,34.06,327,2021-10-17,1439390,1413981,25089,32.0,38.0,0.0
2021-10-18,18,10,2021,0,1,27.65,22.37,24.42,7.84,0.51,27.19,32,2021-10-18,1439405,1414018,25089,15.0,37.0,0.0
2021-10-19,19,10,2021,1,2,48.43,81.37,27.97,7.93,0.81,35.42,49,2021-10-19,1439441,1414029,25090,36.0,11.0,1.0
2021-10-20,20,10,2021,0,3,116.65,183.52,54.74,6.9,1.63,37.59,234,2021-10-20,1439466,1414066,25090,25.0,37.0,0.0
2021-10-21,21,10,2021,0,4,82.51,208.51,58.77,5.82,1.39,35.41,193,2021-10-21,1439488,1414087,25090,22.0,21.0,0.0
2021-10-22,22,10,2021,0,5,77.12,160.18,46.57,5.88,0.93,29.88,165,2021-10-22,1439526,1414095,25091,38.0,8.0,1.0
2021-10-23,23,10,2021,0,6,155.65,150.32,73.91,5.31,2.39,26.86,151,2021-10-23,1439566,1414141,25091,40.0,46.0,0.0
2021-10-24,24,10,2021,1,7,85.65,173.32,10.92,3.71,0.82,32.16,187,2021-10-24,1439603,1414192,25091,37.0,51.0,0.0
2021-10-25,25,10,2021,0,1,58.93,107.75,10.15,3.4,0.63,22.01,84,2021-10-25,1439630,1414232,25091,27.0,40.0,0.0
2021-10-26,26,10,2021,0,2,63.12,127.72,44.68,4.75,1.25,39.95,98,2021-10-26,1439671,1414257,25091,41.0,25.0,0.0
2021-10-27,27,10,2021,0,3,94.53,193.14,55.06,4.99,1.6,45.57,162,2021-10-27,1439709,1414270,25091,38.0,13.0,0.0
2021-10-28,28,10,2021,0,4,166.48,216.63,62.98,5.41,2.07,42.99,168,2021-10-28,1439751,1414315,25091,42.0,45.0,0.0
2021-10-29,29,10,2021,0,5,164.44,230.99,67.24,5.71,1.88,31.06,198,2021-10-29,1439788,1414363,25091,37.0,48.0,0.0
2021-10-30,30,10,2021,0,6,122.44,198.8,63.88,5.51,1.42,42.39,259,2021-10-30,1439825,1414385,25091,37.0,22.0,0.0
2021-10-31,31,10,2021,1,7,142.65,245.63,56.07,5.8,1.64,40.01,293,2021-10-31,1439870,1414431,25091,45.0,46.0,0.0
